Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,LABEL-I,LABEL-II,LABEL-III
192.168.1.104-192.168.1.1-55148-53-17,192.168.1.104,55148,192.168.1.1,53,17,2022-09-12 19:21:47.846913,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.102-53098-30007-6,192.168.1.104,53098,192.168.1.102,30007,6,2022-09-12 19:29:59.680226,47957,5,0,1403,0,1403,0,280.6,627.440674486441,0,0,0,0,29255.3746064182,104.260066309402,11989.25,22729.342597547,46079,323,47957,11989.25,22729.342597547,46079,323,0,0,0,0,0,1,0,0,0,0,0,168,0,104.260066309402,0,0,1403,280.6,627.440674486441,393681.8,1,1,0,1,4,0,0,0,0,280.6,280.6,0,0,0,0,0,0,0,1,280,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,47957,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.102-39162-30007-6,192.168.1.104,39162,192.168.1.102,30007,6,2022-09-12 19:10:56.573995,37504,5,0,2215,0,2215,0,443,990.578114032407,0,0,0,0,59060.3668941979,133.319112627986,9376,17677.8916729343,35891,362,37504,9376,17677.8916729343,35891,362,0,0,0,0,0,1,0,0,0,0,0,168,0,133.319112627986,0,0,2215,443,990.578114032407,981245,1,1,0,1,4,0,0,0,0,443,443,0,0,0,0,0,0,0,1,443,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,37504,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.102-35808-30007-6,192.168.1.104,35808,192.168.1.102,30007,6,2022-09-12 19:37:53.078688,32797,5,0,1883,0,1883,0,376.6,842.103200326421,0,0,0,0,57413.7878464494,152.452968259292,8199.25,15235.0639288671,31050,356,32797,8199.25,15235.0639288671,31050,356,0,0,0,0,0,1,0,0,0,0,0,168,0,152.452968259292,0,0,1883,376.6,842.103200326421,709137.8,1,1,0,1,4,0,0,0,0,376.6,376.6,0,0,0,0,0,0,0,1,376,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,32797,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.102-56190-30007-6,192.168.1.104,56190,192.168.1.102,30007,6,2022-09-12 19:44:27.219566,35507,5,0,1878,0,1878,0,375.6,839.867132348921,0,0,0,0,52890.9792435295,140.81730363027,8876.75,16433.2850514842,33519,349,35507,8876.75,16433.2850514842,33519,349,0,0,0,0,0,1,0,0,0,0,0,168,0,140.81730363027,0,0,1878,375.6,839.867132348921,705376.8,1,1,0,1,4,0,0,0,0,375.6,375.6,0,0,0,0,0,0,0,1,375,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,35507,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.1-45205-53-17,192.168.1.104,45205,192.168.1.1,53,17,2022-09-12 19:13:26.770378,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.102-34992-30007-6,192.168.1.104,34992,192.168.1.102,30007,6,2022-09-12 19:39:51.849941,48051,6,0,1389,0,1389,0,231.5,567.056875454306,0,0,0,0,28906.786539302,124.867328463508,9610.2,20390.9771394114,46082,118,48051,9610.2,20390.9771394114,46082,118,0,0,0,0,0,1,0,0,0,0,0,200,0,124.867328463508,0,0,1389,231.5,567.056875454306,321553.5,1,1,0,1,5,0,0,0,0,231.5,231.5,0,0,0,0,0,0,0,1,231,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,48051,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.1-56860-53-17,192.168.1.104,56860,192.168.1.1,53,17,2022-09-12 18:55:35.479412,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-38745-53-17,192.168.1.104,38745,192.168.1.1,53,17,2022-09-12 18:53:03.166322,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-37933-53-17,192.168.1.104,37933,192.168.1.1,53,17,2022-09-12 19:40:50.797986,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
